127.0.0.1 - - [24/Sep/2019:15:10:19 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [24/Sep/2019:15:10:22 +0900] "GET /jspMenuProj/index.jsp HTTP/1.1" 200 28292
0:0:0:0:0:0:0:1 - - [24/Sep/2019:15:10:22 +0900] "GET /jspMenuProj/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Sep/2019:15:10:22 +0900] "GET /jspMenuProj/img/logo.png HTTP/1.1" 304 -
10.96.124.207 - - [24/Sep/2019:15:10:51 +0900] "GET /jspMenuProj/index.jsp HTTP/1.1" 200 28292
10.96.124.207 - - [24/Sep/2019:15:10:51 +0900] "GET /jspMenuProj/css/index.css HTTP/1.1" 200 590
10.96.124.207 - - [24/Sep/2019:15:10:52 +0900] "GET /jspMenuProj/img/logo.png HTTP/1.1" 200 52685
10.96.124.207 - - [24/Sep/2019:15:10:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
10.96.124.207 - - [24/Sep/2019:15:10:55 +0900] "GET /jspMenuProj/dateMenu.jsp HTTP/1.1" 200 4032
10.96.124.207 - - [24/Sep/2019:15:11:51 +0900] "POST /jspMenuProj/dateMenu.jsp HTTP/1.1" 200 4343
10.96.124.207 - - [24/Sep/2019:15:11:58 +0900] "GET /jspMenuProj/todayMenu.jsp HTTP/1.1" 200 4468
10.96.124.207 - - [24/Sep/2019:15:12:02 +0900] "GET /jspMenuProj/sugBoard.jsp HTTP/1.1" 200 4939
10.96.124.207 - - [24/Sep/2019:15:12:10 +0900] "GET /jspMenuProj/login.jsp HTTP/1.1" 200 3386
10.96.124.207 - - [24/Sep/2019:15:12:10 +0900] "GET /jspMenuProj/css/login.css HTTP/1.1" 200 544
10.96.124.207 - - [24/Sep/2019:15:12:16 +0900] "POST /jspMenuProj/loginProc.jsp HTTP/1.1" 200 509
10.96.124.207 - - [24/Sep/2019:15:12:19 +0900] "GET /jspMenuProj/indexx.jsp HTTP/1.1" 200 27935
10.96.124.207 - - [24/Sep/2019:15:12:23 +0900] "GET /jspMenuProj/myPage.jsp HTTP/1.1" 200 4149
10.96.124.207 - - [24/Sep/2019:15:12:26 +0900] "GET /jspMenuProj/memberCtrl.jsp HTTP/1.1" 200 3468
10.96.124.207 - - [24/Sep/2019:15:12:26 +0900] "GET /jspMenuProj/css/memberCtrl.css HTTP/1.1" 200 361
10.96.124.207 - - [24/Sep/2019:15:12:27 +0900] "GET /jspMenuProj/myPage.jsp HTTP/1.1" 200 4149
10.96.124.207 - - [24/Sep/2019:15:12:29 +0900] "GET /jspMenuProj/menuCtrl.jsp HTTP/1.1" 200 13358
10.96.124.207 - - [24/Sep/2019:15:12:31 +0900] "GET /jspMenuProj/menuChange.jsp?menu_date=2019-09-02&mtype=%EC%A1%B0%EC%8B%9D HTTP/1.1" 200 6411
10.96.124.207 - - [24/Sep/2019:15:12:33 +0900] "GET /jspMenuProj/logout.jsp HTTP/1.1" 200 322
10.96.124.207 - - [24/Sep/2019:15:12:35 +0900] "GET /jspMenuProj/index.jsp HTTP/1.1" 200 28292
10.96.124.207 - - [24/Sep/2019:15:12:36 +0900] "GET /jspMenuProj/login.jsp HTTP/1.1" 200 3386
10.96.124.207 - - [24/Sep/2019:15:12:44 +0900] "POST /jspMenuProj/loginProc.jsp HTTP/1.1" 200 395
